ID,pmid,Dataset,label
1,1564023,tba,Not Relevant
2,1614591,tba,Not Relevant
3,1643752,tba,Relevant
4,1645579,tba,Not Relevant
5,1663791,tba,Not Relevant
6,1689904,tba,Not Relevant
7,1700441,tba,Not Relevant
8,1706262,tba,Not Relevant
9,1709343,tba,Not Relevant
10,1715264,tba,Not Relevant
11,1718950,tba,Not Relevant
12,1724176,tba,Not Relevant
13,1765042,tba,Relevant
14,1784469,tba,Not Relevant
15,1794001,tba,Not Relevant
16,1801154,tba,Relevant
17,1823862,tba,Not Relevant
18,1866694,tba,Not Relevant
19,1880724,tba,Relevant
20,1889912,tba,Relevant
21,1935820,tba,Not Relevant
22,1961925,tba,Not Relevant
23,1981546,tba,Relevant
24,1991835,tba,Not Relevant
25,2003368,tba,Not Relevant
26,2027015,tba,Not Relevant
27,2048014,tba,Not Relevant
28,2057987,tba,Not Relevant
29,2074254,tba,Relevant
30,2114465,tba,Not Relevant
31,2153524,tba,Not Relevant
32,2157527,tba,Not Relevant
33,2196250,tba,Not Relevant
34,2211452,tba,Relevant
35,2229205,tba,Relevant
36,2245168,tba,Relevant
37,2257658,tba,Not Relevant
38,2286699,tba,Not Relevant
39,2299362,tba,Not Relevant
40,2347059,tba,Not Relevant
41,2361265,tba,Not Relevant
42,2379385,tba,Relevant
43,2387499,tba,Not Relevant
44,2426259,tba,Not Relevant
45,2485469,tba,Not Relevant
46,2496951,tba,Relevant
47,2513744,tba,Relevant
48,2523878,tba,Not Relevant
49,2540502,tba,Not Relevant
50,2562802,tba,Not Relevant
51,2574239,tba,Not Relevant
52,2578501,tba,Not Relevant
53,2596683,tba,Not Relevant
54,2610509,tba,Relevant
55,2620155,tba,Not Relevant
56,2680228,tba,Not Relevant
57,2684591,tba,Not Relevant
58,2686397,tba,Not Relevant
59,2693775,tba,Not Relevant
60,2713214,tba,Relevant
61,2716073,tba,Not Relevant
62,2727431,tba,Not Relevant
63,2756518,tba,Not Relevant
64,2761263,tba,Relevant
65,2789320,tba,Not Relevant
66,2805658,tba,Not Relevant
67,2819032,tba,Not Relevant
68,2852947,tba,Relevant
69,2896563,tba,Not Relevant
70,2900879,tba,Not Relevant
71,2906097,tba,Not Relevant
72,2960342,tba,Relevant
73,2976351,tba,Not Relevant
74,3011359,tba,Not Relevant
75,3043944,tba,Not Relevant
76,3054222,tba,Not Relevant
77,3069425,tba,Not Relevant
78,3076784,tba,Not Relevant
79,3126724,tba,Not Relevant
80,3150571,tba,Not Relevant
81,3185099,tba,Relevant
82,3225491,tba,Relevant
83,3249344,tba,Relevant
84,3258298,tba,Not Relevant
85,3264120,tba,Relevant
86,3276321,tba,Not Relevant
87,3276508,tba,Not Relevant
88,3284092,tba,Not Relevant
89,3372646,tba,Not Relevant
90,3383542,tba,Not Relevant
91,3429067,tba,Relevant
92,3437104,tba,Not Relevant
93,3439792,tba,Relevant
94,3481836,tba,Relevant
95,3493905,tba,Relevant
96,3530584,tba,Not Relevant
97,3555061,tba,Relevant
98,3567508,tba,Not Relevant
99,3590224,tba,Not Relevant
100,3604530,tba,Relevant
101,3610317,tba,Not Relevant
102,3628194,tba,Not Relevant
103,3629140,tba,Relevant
104,3680576,tba,Not Relevant
105,3742867,tba,Not Relevant
106,3768791,tba,Not Relevant
107,3775801,tba,Not Relevant
108,3834082,tba,Relevant
109,3881456,tba,Not Relevant
110,3899777,tba,Not Relevant
111,3908480,tba,Not Relevant
112,3942558,tba,Not Relevant
113,3948297,tba,Relevant
114,3957664,tba,Not Relevant
115,4032998,tba,Not Relevant
116,4051955,tba,Not Relevant
117,4053638,tba,Not Relevant
118,4218184,tba,Not Relevant
119,4225304,tba,Not Relevant
120,4264433,tba,Not Relevant
121,4374942,tba,Not Relevant
